respondent_id,gender,age_range,query,method,rank,perfume_name,brand,similarity_score,relevance_score
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",TF-IDF,1,Heaven Scent Vanilla,Helena Rubinstein,0.25735911498057396,0
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",TF-IDF,2,Coco Rose Scentual Aroma Eau de Parfum,Scentual Aroma,0.2260236452121058,1
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",TF-IDF,3,Carnation Scentual Aroma Perfume Oil,Scentual Aroma,0.22091875376230388,1
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",Sentence-Transformer,1,Amber Vanilla,Scentual Aroma,0.6507923603057861,2
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",Sentence-Transformer,2,Intimate Vanilla,Neil Morris Fragrances,0.6138342618942261,2
R01,Tidak ingin menyebutkan,< 17,"saya ingin aroma parfum cewe yang soft kalem dan cocok untuk pekerjaan indoor, saya tidak suka aroma vanilla, jadi jangan ada scent vanilla nya",Sentence-Transformer,3,Hot Vanilla My Perfumes Eau de Parfum,My Perfumes,0.612176239490509,2
